iter	Logloss
0	0.5231789062
1	0.4424200452
2	0.3934052009
3	0.3632728378
4	0.3454853355
5	0.3320389218
6	0.3229142446
7	0.3172664506
8	0.3131562057
9	0.3100615716
10	0.3061501742
11	0.303742093
12	0.3017135295
13	0.3002855613
14	0.2979665644
15	0.2959042297
16	0.2945231358
17	0.293571822
18	0.2927198575
19	0.291896997
20	0.2912178216
21	0.2901861509
22	0.2892697313
23	0.2888165368
24	0.2868407184
25	0.2856575625
26	0.2847055417
27	0.2840527025
28	0.2832846992
29	0.2825458833
30	0.2822030742
31	0.2813692088
32	0.2796052875
33	0.2780943373
34	0.2766987702
35	0.2765261054
36	0.276131106
37	0.2756522287
38	0.2750932049
39	0.2743812874
40	0.2740887631
41	0.2739417774
42	0.273591506
43	0.2731411621
44	0.2725197343
45	0.2715341451
46	0.2709364962
47	0.2703979446
48	0.2696645125
49	0.2690543451
50	0.2682289832
51	0.2673992302
52	0.2669777817
53	0.2666951564
54	0.2662568873
55	0.2660438125
56	0.265664781
57	0.2655152788
58	0.2651739832
59	0.2649236533
60	0.2646483335
61	0.2641448211
62	0.2638992536
63	0.2635128477
64	0.2631726204
65	0.2629233146
66	0.2626329436
67	0.2625140481
68	0.2622433026
69	0.2618590809
70	0.2613806773
71	0.2609296467
72	0.2605808787
73	0.2600508094
74	0.2598288249
75	0.2596187759
76	0.2593351996
77	0.2591412685
78	0.2588884441
79	0.2587565676
80	0.2585586223
81	0.2582745722
82	0.2578437045
83	0.2576938511
