iter	Passed	Remaining
0	5	497
1	12	530
2	19	533
3	25	515
4	31	503
5	39	512
6	45	504
7	51	493
8	60	500
9	70	520
10	75	501
11	78	470
12	84	459
13	87	435
14	89	412
15	92	391
16	95	375
17	97	358
18	100	343
19	103	329
20	105	317
21	108	306
22	111	295
23	113	284
24	116	275
25	121	271
26	124	262
27	126	253
28	129	245
29	131	237
30	134	229
31	137	223
32	139	216
33	142	209
34	145	203
35	147	196
36	150	190
37	152	184
38	155	179
39	158	173
40	160	168
41	163	163
42	165	158
43	168	153
44	171	148
45	173	143
46	176	138
47	178	134
48	181	129
49	184	125
50	186	120
51	189	116
52	192	112
53	194	108
54	197	104
55	200	100
56	202	96
57	205	92
58	208	88
59	210	84
60	213	80
61	219	78
62	223	74
63	226	70
64	228	66
65	231	63
66	233	59
67	236	55
68	238	51
69	241	48
70	244	44
71	247	41
72	249	37
73	252	34
74	254	30
75	257	27
76	259	23
77	262	20
78	265	16
79	267	13
80	270	10
81	272	6
82	275	3
83	278	0
